MorphosourceID,Collection#,Species_LJ.M,Average,Species_PM,Subfamily,Tribe.Roxo,Tribe.Lujan,Figure,Color,In Roxo,In Lujan,Diet.Primary,Diet.notes,Substrate,Substrate.notes,Flow,Flow.notes,References,Other.notes
M37586-68830,ANSP193942,Oxyropsis_wrightiana,Oxyropsis_wrightiana,Oxyropsis_wrightiana,Hypoptopomatinae,,Hypoptopomatini,O. wri,#ffb677,0,0,,,,,,,,
M23563-46120,MCZ8121,Harttia_loricariformis,Harttia_loricariformis,Harttia_loricariformis,Loricariinae,Harttiini,Harttiini,H. lor,#009292,1,1,algae,,bedrock.cobble,,fast,,,
M37571-68812,ANSP181100,Lamontichthys_filamentosus,Lamontichthys_filamentosus,Lamontichthys_filamentosus,Loricariinae,Farlowellina,Harttiini,L. fil,#009292,1,1,algae,Algae is ''processed'' for the tiny microorganisms within and this is very hard to replicate in the aquarium.,boulder,,fast,,https://www.planetcatfish.com/common/species.php?species_id=405,
M37573-68814,ANSP178472,Loricaria_clavipinna,Loricaria_clavipinna,NA,Loricariinae,,Loricariini,L. cla,#009292,1,0,,,,,,,,
M37590-68835,ANSP131614,Loricariichthys_maculatus,Loricariichthys_maculatus,NA,Loricariinae,,Loricariini,L. mac,#009292,1,0,,,,,,,,
M37604-68856,ANSP191512,Planiloricaria_cryptodon,Planiloricaria_cryptodon,NA,Loricariinae,,Loricariini,P. cry,#009292,1,0,,,,,,,,
M37606-68859,ANSP174122,Neoplecostomus_microp,Neoplecostomus_microp,Neoplecostomus_microp,Hypoptopomatinae,Neoplecostomini,,N. mic,#ffb677,1,1,algae,,bedrock.cobble,,fast,,,
M37986-69322,ANSP173796,Pareiorhaphis_cameroni,Pareiorhaphis_cameroni,Pareiorhaphis_cameroni,Hypoptopomatinae,Neoplecostomini,,P. cam,#ffb677,1,1,algae,,bedrock.cobble,,fast,,,
M37990-69326,ANSP174125,Pareiorhina_rudolphi,Pareiorhina_rudolphi,Pareiorhina_rudolphi,Hypoptopomatinae,Neoplecostomini,,P. rud,#ffb677,1,1,algae,,bedrock.cobble,,fast,,,
M30925-59120,TCWC15249.01,Rhadinoloricaria_macromystax,Rhadinoloricaria_macromystax,Rhadinoloricaria_macromystax,Loricariinae,,Loricariini,R. mac,#009292,0,0,,,,,,,,
